Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Inconsequential Injury  ,Nothing clears the head like hurting something else.,Attack,Daily,1,Juggernautical,Martial,No,Self,,,,,,,,"Select one condition you suffer from. Gain a +4 bonus to the saving throw against that condition until you pass. When you pass, you gain two basic attacks.",,,
The Behemoth,You lift up a few inches and widen your stance.  You find a newly found surge of adrenaline.,Utility,Daily,2,Juggernautical,Martial,Swift,Self,,,,,,,,You gain temporary hit points equal to twice your Strength modifier.,Use a standard action and a move action instead of a swift action with this power and gain temporary hit points equal to twice your Constitution and Strength modifier.,,
For the Common Honor,"In an instant, you weigh the options and realize someone else’s life is more vital than your own.",Utility,Encounter,2,Juggernautical,Martial,Immediate (Counter),Near,"burst 2, one ally",,One staggered ally in range is hit by an attack that does not include you.,,,,,You are hit by the attack instead of the ally.,,,
I’m the Juggernaut,You ignore any obstacles as you plow through terrain and opponents.,Utility,Encounter,2,Juggernautical,Martial,Move,Self,,,,,,,,"Shift a number of squares equal to 1 + your Constitution modifier, ignoring difficult terrain. You can move through enemies' squares during this movement. Non-creature obstructions in squares you attempt to enter take damage equal to 5 × your Strength modifier: if this destroys the obstruction, you can enter the square.",,,
Out of the Fire,You know when to fight and when not to.  You grab an ally and pull back.,Attack,Encounter,3,Juggernautical,"Booster, Martial, Weapon",Free,Self,,,You hit one creature,,,,,"The target takes 1dW extra damage from the triggering attack.

*Secondary Effect:* You and one adjacent ally can shift a number of squares equal to 1+ your Strength modifier. You and the ally must be adjacent at the end of the shift.",,,
The Bulldozer,"You slowly approach your enemies, pushing your advancing line and claiming more of the battlefield.",Utility,Daily,6,Juggernautical,Martial,Move,Near,"burst 6, the nearest enemy you can see",,,,,,,Shift one square towards the target.  You gain resist 5 all damage until the start of your next turn.,,"Move: The effect persists. If you enter a square adjacent to the target, drop the target to 0 hit points or fewer, cannot move, or if you voluntarily move away from the target, you cannot maintain.",
Just Like Elias,"Despite injuries and your brain telling you you’re done, your body refuses to fall.",Utility,Encounter,6,Juggernautical,"Healing, Martial",Move,Self,,You must be staggered.,,,,,,You regain hit points equal to twice your Strength modifier plus twice your Constitution modifier.,,,
He Ain't Heavy,You grab a fallen ally and throw them over your shoulder as you withdraw.,Attack,Daily,9,Juggernautical,"Booster, Martial, Weapon",Near,"burst 6, one unconscious or otherwise helpless ally",,,,,,,,"Shift into the ally's occupied square.

*Secondary Effect:*  Make a basic attack.  One hit creature takes 2dW extra damage
*Miss:*  Half damage
*Tertiary Effect:*  Shift a number of squares equal to 1+ your Constitution or Strength modifier, and shunt the target with you.
",,,
The Runaway Boulder,You barrel through terrain and people and anchor yourself further up the line.,Utility,Daily,10,Juggernautical,Martial,Self,,,,,,,,,"Shift your speed +2. Until the end of your next turn, you gain resist 10 all damage. You are not considered moving for the purposes of using firearms.","If you complete a streak, you recover the use of this power.",,
Like An Elephant,"You offer your shoulder to enemies you plow through, slamming them back and clearing a way.",Attack,Encounter,13,Juggernautical,"Martial, Weapon",Melee,"weapon, each enemy in reach during your shift",,,,Strength,AC,"2dW + Strength modifier damage, and the target is pushed 3 squares and knocked prone.",,"Before your attacks, shift your speed. You can pass through enemy occupied squares.",,,
Down Fighting,You ignore all those pesky holes and bleeding wounds.  You refuse to accept humiliation.  You will not fall before winning a fight.,Attack,Daily,15,Juggernautical,Martial,Immediate (React),Self,,,You are reduced to 0 or fewer hit points,,,,,"Until the start of your next turn, you are dazed, but do not fall unconscious, make death saves, or die from reaching your negative bloodied value in hit points; you also gain a +4 power bonus to all attack & damage rolls.","If you are still alive at the end of the encounter, you automatically stabilize at 0 hit points.","Free: The effect persists. If you do not hit with an attack before the start of your next turn, you are considered to have failed a death save.",
The Fortress,You're an immovable object--a rooted post for allies to rally back to.,Utility,Daily,16,Juggernautical,Martial,Move,Self,,,,,,,,"You gain regeneration 5 until the end of your next turn. You grant cover to all allies in adjacent squares, regardless of line of sight.",,Move:  The effect persists. You cannot sustain if you leave your current square.,
In The Face,"An enemy raises his club, sword, or any other archaic implement of barbarity and you respond with your own medieval response. ",Attack,Encounter,17,Juggernautical,"Martial, Consistent, Weapon",No,Melee,"weapon, the triggering enemy",,One enemy hits you with an opportunity attack.,Strength,AC,"3dW + Strength modifier damage, and the attack misses.",,,"Spend a recovery, but regain no hit points; instead, you recover the use of this power.",,
Nosebleed,"You sniff up the blood, bark loudly, and assault the newly frightened enemy.",Attack,Daily,19,Juggernautical,"Martial, Weapon",Immediate (React),Melee,"weapon, the triggering enemy",,One enemy scores a critical hit on you.,,,,,"The hit only inflicts normal damage.  Make a basic attack: one hit creature takes 1dW extra damage

*Secondary Effect:*  Gain a +2 bonus to all attack rolls and damage rolls until the end of the encounter against the triggering enemy.",,,
Just Got the Wind Knocked,"What? Nah, nah, I’m doing just fine.",Utility,Encounter,22,Juggernautical,Martial,Immediate (React),Self,,,You take damage from an attack.,,,,,"Until the end of the encounter, you suppress all effects of the attack. At the end of the encounter, you immediately suffer these effects.",,,
Just Walk It Off,You know perfectly well how much damage was done.  You attempt to ignore it and continue the fight.,Attack,Encounter,23,Juggernautical,"Healing, Martial, Weapon",Standard,Melee,"weapon, one creature",You must be staggered.,,Strength,AC,4dW + Strength modifier damage.,Half damage.,Spend a recovery and regain double your recovery value.,,,
Blatant Disregard For Personal Safety ,"You walk in the open, brazenly approaching your foe without care or concern.",Attack,Daily,25,Juggernautical,"Martial, Weapon",Standard,Self,,,,,,,,"Shift a number of squares equal to your Strength modifier. Make three basic attacks at any point during the move. Each time you miss with an attack roll, you can spend a recovery and heal your recovery value in hit points.",,,
Behind Me!,Your ally uses you as cover as you march towards your enemy.,Attack,Encounter,27,Juggernautical,Martial,Standard,Near,"burst 1, you and two allies",,,,,,,"Each target can shift its speed. They must remain in adjacent squares at the end of the move. Each target can use one attack power at any point during the move. Until the end of your next turn, you grant cover to adjacent allies.",,,
,,,,,,,,,,,,,,,,,,,
Frontline Fighting,,,,,,,,,,,,,,,,,,,
Rope-A-Dope,You confuse your enemy with one hand but strike fast with the other. You weave around your opponent in the confusion.,Attack,At-Will,1,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage.
*Level 21:* 2dW + Strength modifier.",,Shift to any square adjacent to the target.  You either push the target 1 square or shunt it into the square you just occupied.,,,
All-Out Strike,You lean in and give it all you've got.,Attack,At-Will,1,Frontline Fighting,"Martial, Weapon ",Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage, and the target is pushed one square. If the target cannot be pushed because of an obstruction, the target takes additional damage equal to your Constitution modifier.
*Level 21:* 2dW + Strength modifier.",,,,,
Unbalancing Strike,A quick jab is better than a heavier thrust which can throw you off balance.,Attack,At-Will,1,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,Fortitude,"1dW damage, and you gain combat advantage against the target until the end of your next turn.
*Level 21:* 2dW.",,,,,
Full Sweep,"You spin around, attacking all targets around you.",Attack,Encounter,1,Frontline Fighting,"Martial, Weapon",Standard,Near,"burst 1, all enemies you can see",,,Strength vs. AC or Dexterity,Reflex (you may determine the type of attack separately for each target.),"1dW + Strength modifier damage (Ac), or no damage, and the target is knocked prone and dazed until the start of your next turn (Reflex).",,,,,
Sudden Leap,You vault in the air and deliver a crippling blow from up high.,Attack,Encounter,1,Frontline Fighting,"Martial, Weapon",Standard,Ranged,"4, one creature 3 or 4 squares away",,,Strength,AC,"1dW + Strength modifier damage, and you push the target one square.  You shift into the square the target previously occupied.

If the target cannot be pushed, the target is knocked prone and you shift into the occupied square.","No damage, and you shift to an adjacent square to the target.",,,,
C-C-C-Combo Breaker,"You strike when the enemy least suspects it, through an assumed impenetrable defense.",Attack,Daily,1,Frontline Fighting,"Martial, Weapon",Immediate (Counter),Melee,"weapon, the triggering enemy",,One enemy makes a melee attack against you.,Strength,AC,1dW + Strength modifier damage.,Half damage.,You gain a +3 power bonus to Ac until the end of your next turn.,,,
Insult to Injury,A noble warrior doesn't kick someone when they're down. You're not that noble.,Attack,Daily,1,Frontline Fighting,"Martial, Weapon",Special,Melee,"weapon, the triggering enemy",,One enemy is knocked prone.,Strength,AC,"2dW + Strength modifier damage, and the target is pushed 3 squares. If the target cannot be pushed 3 squares because of an obstruction, both the obstruction and the target take 1d6 + your Constitution modifier damage.","Half damage, and the target is not pushed.",,You can use this power as a swift action or an immediate reaction.,,
Redirection of Energy,You utilize the direction of your enemy’s attack injury into a counter-maneuver.,Utility,Encounter,2,Frontline Fighting,Martial,Immediate (Counter),Self,,,You are hit by a melee or ranged attack by an adjacent enemy.,,,,,You gain a +4 power bonus to AC and Reflex defense against the attack. Shift to any other square adjacent to the target and gain combat advantage until the end of your next turn.,,,
Roll With It,"You take an injury and fall back, hoping to diminish the severity of the impact.",Utility,Encounter,2,Frontline Fighting,Martial,Immediate (React),Self,,,You are struck with a non-critical melee or ranged attack.,,,,,"You shift 1 square away from the triggering attacker and only suffer 1 point of damage from the hit. If you cannot move away from the attacker, you may not use this power.",,,
Mistaken Aggravation,You might have misjudged this opponent.  Time for a strategic withdrawal.,Attack,Encounter,3,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,1dW + Strength modifier damage.,,Shift your speed.  You must take the most direct path away from the target.,,,
Adaptable Warrior,Being able to adapt to any situation is the mark of any master of the martial arts.,Attack,Encounter,3,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one or two creatures",,,Strength +1 vs. AC (2 attacks) or Strength +4 ,AC (1 attack),1dW + Strength modifier damage.,,,You can use this power again if you spend an action point to use it.,,
Overreach Lunge,Your opponent thinks they are safe.  Prove them wrong.,Attack,Encounter,3,Frontline Fighting,"Martial, Consistent, Weapon",Standard,Melee,"weapon, one creature 1 square beyond your reach",,,Strength,AC,2dW + Strength modifier damage.,,Shift to any square adjacent to the target.,,,
Flawless Victory,Your enemy is near defeat.  Use all remaining reserves for a decisive win.,Attack,Daily,5,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one staggered enemy",,,Strength,AC,4dW + Strength modifier damage.,Half damage.,"If the attack does not drop the target to 0 hit points or fewer, you grant combat advantage to the target until the end of your next turn. If the target hits you before the start of your next turn, you grant combat advantage until the end of your following turn.",,,
Hip Throw,You and your opponent are in a clinch. You utilize leverage and superior balance to toss your enemy down. ,Attack,Daily,5,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon (unarmed), one creature",,,Strength,Reflex,"3dW + Strength modifier damage, and you shunt the target 3 squares, knock it prone and daze it until the end of your next turn.","Half damage, and you shunt the target 3 squares.",,,,
Smack-Attack,Your opponent charges you.  You direct their energy past you.,Utility,Daily,6,Frontline Fighting,Martial,Immediate (Counter),Self,,,A creature hits you with a non-critical melee attack or a charge.,,,,,"The attack misses. Shift to any square adjacent to the triggering attacker, and it grants you combat advantage until the end of your next turn.",,,
Consequential Attack,"You throw yourself to such a degree into the attack, you leave yourself vulnerable.",Attack,Encounter,7,Frontline Fighting,"Martial, Consistent, Weapon",Standard,Melee,"weapon, one creature 1 square beyond your reach",,,Strength,AC,3dW + Strength modifier damage + Constitution modifier.,,"Regardless if you hit, you grant combat advantage to all enemies until the start of your next turn.",,,
Jaw Strike,"You connect hard, sending a bolt of pain into your opponent's head.",Attack,Encounter,7,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage, and the target is pushed 1 square, knocked prone, and dazed until the start of your next turn.",,,You can use this power again with an action point (replacing the action).,,
Knock-Out Button,You hit that sweet spot.  Hopefully it's lights out for your opponent.,Attack,Daily,9,Frontline Fighting,"Martial, Consistent, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage, and the target is knocked prone and stunned (save ends).","Your next attack roll with this power suffers a -1 penalty.  After three misses, this power is no longer reliable.",,,,
Free Hand,"You see a split-second opening to take a passing strike, given a free appendage to do so.",Attack,Daily,9,Frontline Fighting,"Martial, Consistent, Weapon",Free,Melee,"weapon, one creature",,,Strength,AC,2dW + Strength modifier damage.,,,,,
Last Second Recovery,"You jump back, shake your head, clear your mind, and ready yourself to push back into the fight.",Utility,Encounter,10,Frontline Fighting,"Healing, Martial",Move,Self,,You must be staggered.,,,,,,Shift to the nearest square not in reach of an enemy and spend a recovery to heal equal to your recovery value.,,,
Pound for Pound,All things being equal . . . you have no equal.,Utility,Encounter,10,Frontline Fighting,Martial,Free,Self,,,,,,,,"Until the end of your next turn, your at-will powers that require a standard action only require a move action, and those that require a move action only require a swift action.",,,
Snap-Sweep,"You drop and spin around, tripping your opponent and making them open for another attack.",Attack,Encounter,13,Frontline Fighting,"Martial, Weapon",Swift,Melee,"weapon, one creature",,,Strength,AC,"2dW + Strength modifier damage, and the target is knocked prone.",Half damage.,,,,
Vicious Hook,You bend your arm and shift your weight.  Your throw everything into a solid strike with knockout power.,Attack,Encounter,13,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage, and the target is stunned until the start of your next turn.",,,You can use this power again with an action point (replacing the action).,,
Battle Stride,"Whether you barrel in or elegantly weave through, you fight your way past enemy lines.",Attack,Daily,15,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"2dW + Strength modifier damage, and the target is dazed (save ends).",Half damage.,"Before your attack, shift up to 3 squares. After your attack, shift 3 squares and repeat the attack against a different target.  Then shift 3 squares and repeat the attack against a third target. Then shift 1 square.
",,,
Roundhouse Attack,"In the air, with a circular sweep, you cut all your enemies down.  Yeah, it works.",Attack,Daily,15,Frontline Fighting,"Martial, Weapon",Standard,Near,"burst 1, all creatures",,,Strength,AC,"3dW + Strength modifier damage, and the target is pushed 1 square. If the target cannot be pushed due to an obstruction, the target takes additional damage equal to twice your Constitution modifier.","Half damage, and the target is pushed 1 square.",,,,
Gambit Recovery,You give your opponent the impression you’re not in your game. An uncharacteristic miss is instantly followed up with another attempt.,Utility,Encounter,16,Frontline Fighting,Martial,Free,Self,,,You miss with an attack roll.,,,,,Reroll until the result is higher than the triggering attack roll.,,,
Knockout Power ,You've been working out.,Utility,Daily,16,Frontline Fighting,Martial,Free,Self,,,,,,,,"Until the end of the encounter (or five minutes), the damage die of your unarmed attacks increases by one step (1d4 > 1d6 > 1d8 > 1d10 > 1d12 > 2d6 > 2d8 > 2d10).",,,
String-Combo,"You mount attack upon attack so rapidly, your enemy is unable to defend himself.",Attack,Encounter,17,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,"AC, three attacks. Resolve each attack before making the next.","1dW + Strength modifier damage. Gain a cumulative +2 bonus to additional attack rolls with this power. If you hit the target with all three attacks, you inflict additional damage equal to twice your Strength modifier.",,,,,
Wear Them Down,You pound upon your foe in hopes of breaking his spirit.,Attack,Encounter,17,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,"AC, two attacks","2dW + Strength modifier damage, and the target is weakened and dazed until the end of your next turn. If you hit the target with both attacks, the target is weakened and dazed (save ends) and cannot save until the end of your next turn.",,,,,
Lights Out,"You strike your opponent at a tender spot, just behind the head or under the jaw. Your enemy falls limp before you. ",Attack,Daily,19,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"3dW + Strength modifier damage, and the target is unconscious (save ends). The moment the target takes any further damage, it immediately wakes up.",3dW + Strength modifier damage.,,,,
Off the Bone,Your enemy's tendons snap and bones break.,Attack,Daily,19,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"4dW + Strength modifier damage, and the target suffers ongoing 10 damage (save ends).",Half damage and ongoing 5 damage (save ends).,,,,
Blocking Pose,You change your guard to withstand punishment from oncoming attacks.,Utility,Encounter,22,Frontline Fighting,"Healing, Martial",Move,Self,,,,,,,,Take half damage from all melee attacks until the start of your next turn.,,Move:  The effect persists.  You cannot maintain if you move from your square or an enemy scores a critical hit against you.,
Calculated Strike,"You make a quick determination upon the best course of action, sacrificing accuracy for power.",Attack,Encounter,23,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength +6 ,AC,2dW + Strength modifier damage.,,For every -2 penalty you accept on this attack (maximum -6) the attack deals +1dW damage.,You can use this power again with an action point (replacing the action).,,
Spherical Discipline,"You lash at opponents all around, striking behind, in front, and in blind spots.",Attack,Encounter,23,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, all enemies in reach",,,Strength,AC,"2dW + Strength modifier damage, and the target is dazed and weakened until the end of your next turn.",,You gain a +2 power bonus to Ac until the end of your next turn.,,,
Master Combo,Your opponents have never seen talent like this. Your resolve is absolute. There could be ten times more men against you and it still wouldn't matter.,Attack,Daily,25,Frontline Fighting,"Martial, Weapon",Move,Melee,weapon,,,,,,,Use three at-will powers.  You can select the same power multiple times.,"When you complete a streak, you recover the use of this power.",,
Roundabout Strike,"After your opponent is temporarily dazed, you slide to another position for a follow-up attack.",Attack,Daily,25,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,"3dW + Strength modifier damage

*Effect:*  Shift to any unoccupied square adjacent to the enemy and make a secondary attack.

*Secondary Attack:*  Strength vs. Ac

*Hit:*  2dW + Strength modifier damage, and the target is knocked prone and cannot stand (save ends).",Half damage with each attack.,,,,
Flow Like Water,"You pass through enemy lines without worry, crashing into whatever foes you wish.",Attack,Encounter,27,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength,AC,3dW + Strength modifier damage.,,Shift to any square adjacent to the target.,,Standard:  Repeat the attack against a different target.,
Sure-Kill,One single strike is all you'll need. You crush your opponent and strike fear into all those around with such a brutal act of violence. ,Attack,Daily,29,Frontline Fighting,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength -2,AC,"6dW + Strength modifier damage, and all enemies in a burst 5 of the target are stunned until the end of your next turn.",Half damage.,,,,
,,,,,,,,,,,,,,,,,,,
Spells of Ice and Fire,,,,,,,,,,,,,,,,,,,
Magic Touch,"You’ve read books where wizards use rays of frost or scorching bursts. To you, these weren’t works of fiction. These were options.",Attack,At-Will,1,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Melee,"touch, one creature",,,Dexterity,Reflex,"1d6 + Dexterity modifier [flux] damage and the target takes half damage at the start of your next turn.

Increase to 2d6 + Dexterity modifier [flux] damage at 21st level.",,,,,
Thermodynamic Bolt,"With only the slightest catalyst, you catch a personification of a classical element and hurl it towards the enemy.",Attack,At-Will,1,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Ranged,"10, one creature",,,Dexterity,Reflex,1d6 + Dexterity modifier [flux] damage. Increase damage to 2d6 + Dexterity modifier [flux] damage at 21st level.,,,,,
Entropic Burst,"With a maneuver you try not to look like a pirouette from a ballet, you shift the air density around you, creating a vortex to knock away your enemies.",Attack,Encounter,1,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Near,"burst 3, all creatures",,,Dexterity,Reflex,"1d6 + Dexterity modifier [flux] damage, and the target is pushed to the nearest adjacent square outside the burst. If the target hits an obstruction, it is knocked prone.","Half damage, but the target is still pushed.",,**Elemental Attunement:** Burst +2.,,"**Level 13:** Near burst 4 and 2d6 + Dexterity modifier [flux] damage.
**Level 27:** Near burst 6 and 4d6 + Dexterity modifier [flux] damage."
Bottled Thermodynamic Transfer,You bind a localized severe temperature change to your hand and hurl it to your foes.,Attack,Encounter,1,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Ranged,"20, one creature",,,Dexterity,Reflex,2d8 + Dexterity modifier cold/fire damage.,,"You can make either a second attack against the target or attack each enemy adjacent to the target. 

*Secondary Hit:* 1d8 + Dexterity modifier damage.",**Elemental Attunement:** Ranged 40.,,"**Level 13:** Primary damage 3d8 + Dexterity modifier, secondary damage 2d8 + Dexterity modifier.
**Level 27:** Primary damage 4d8 + Dexterity modifier, secondary damage 3d8 + Dexterity modifier."
Resonant Ray,You hold your hand to the ground and a line of fire or jag-ged ice spreads across the surface to strike your foes.,Attack,Daily,1,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Near,"wall 8, all creatures in wall",,,Dexterity,Reflex,"2d8 + Dexterity modifier [flux] damage, and until the end of your next turn the target is:
* immobile (if cold).
* weakened (if fire).",Half damage.,,**Elemental Attunement:** Wall 12.,,"**Level 15:** Two rays and 3d8 + Dexterity modifier [flux] damage.
**Level 29:** Three rays, 4d8 + Dexterity modifier [flux] damage, and condition duration is save ends."
Thermal Absorption,"Regardless of the temperature, it’s all just levels of entropy which you can absorb.",Utility,Encounter,2,Spells of Ice and Fire,"Arcane, Flux",Immediate (Counter),Self,,,You are about to take damage matching your flux energy.,,,,,"Instead of taking damage, you recover hit points up to your recovery value. The excess damage is ignored.
",,,
Elemental Restraint,You employ your element to grab your target. You can either hold them in place or fling them across a room.,Attack,Encounter,3,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Ranged,"20, one Medium or smaller creature",,,Dexterity,Reflex,"1d6 + Dexterity modifier [flux] damage, and you inflict additional effects based on your flux energy.

* Cold: The target is immobile in an ice cage, blocking line of sight, and cannot break free until it inflicts damage on the ice equal to twice your level plus your Dexterity modifier.
* Fire: You inflict additional damage equal to your level and can shunt the target as many squares as your Dexterity modifier.
",,,,,**Level 17:** 3d6 + Dexterity modifier damage.
Thermal Isolation,You pick one location and radically affect its entropic state. This could freeze a target in its spot or light it on fire.,Attack,Encounter,3,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Ranged,"20, one creature",,,Dexterity,Reflex,"2d8 + Dexterity modifier [flux] damage, and you inflict additional effects based on your flux energy.

* Cold: The target is restrained until the end of your next turn.
* Fire: If the target does not drop prone on its next turn, it suffers an additional 10 fire damage. ",,,,,**Level 17:** 4d8 + Dexterity modifier damage.
Expanding Phase Transition,"With feet firmly planted, your send out a radiating expanse of altered terrain, either coated in ice or setting it ablaze; either result should impede your enemies.",Attack,Daily,5,Spells of Ice and Fire,"Arcane, Flux, Focus, Zone",Standard,Near,burst 3,,,,,,,"The effect is determined by your flux energy.

* Cold: You can create either a sheet of smooth ice or a sheet of ice spikes. If smooth, targets which enter an affected square are knocked prone. If spiked, the field is difficult terrain and creatures which enter an affected square suffer 1d4 + Dexterity modifier damage (this ends the effect for that square). A cold expanse lasts until the end of the encounter or five minutes.
* Fire: The field is difficult terrain and targets which enter an affected square suffer 1d6 + Dexterity modifier damage. A fire expanse lasts until the end of your next turn.",**Elemental Attunement:** Increase the burst range by 2 squares.,Move: The fire expanse persists until the end of your next turn.,**Level 19:** Increase the blast radius to close burst 8.
Frozen Creation,You use ambient water to quickly create something useful.,Utility,At-Will,6,Spells of Ice and Fire,"Arcane, Cold",Standard,Near,wall 4,,,,,,,"You can create simple objects made of ice, such as bridges, walls, pillars, or furniture. The objects can sustain weight but are not durable, and will shatter if they suffer more than 10 points of damage.",,,
Thermal Wall,You throw up a wall of ice or a sheet of fire to discourage attack.,Utility,Daily,6,Spells of Ice and Fire,"Arcane, Flux",Move,Far,wall 5 (range 3),,,,,,,"You erect a ten foot high wall which blocks line of sight. You gain additional effects based on your elemental focus.
* Cold: The ice wall is solid and can grant cover. The wall can withstand 50 points of damage before shattering. The wall remains until destroyed or until you cancel the effect.
* Fire: The wall grants resist 3 all damage to anyone behind it. Creatures can attempt to pass through the wall but suffer 3d6 fire damage. The wall lasts until the end of your next turn.",**Elemental Attunement:** Wall 10.,Minor: The fire wall persists until the end of your next turn.,
Broken Equilibrium,You release a pellet sized thermodynamic catalyst which upon impact creates an instant shift in the surrounding energy levels.,Attack,Encounter,7,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Far,"burst 2 (range 20), all creatures",,,Dexterity,Reflex,"3d6 + Dexterity modifier [flux] damage. You gain additional effects based on your flux energy: 
* Cold: The target is slowed until the end of your next turn.
* Fire: If the target moves more than two squares on its next turn, it suffers 5 fire damage.",,,**Elemental Attunement:** Increase the burst range by 2 squares.,,**Level 23:** Area burst 4 within 20 squares and 4d6 + Dexterity modifier [flux] damage.
Dynamic Tempest,"People believe you able to control weather. They may even ascribe a nickname to you. Squall? No. Hurricane? No… something, shorter.",Attack,Daily,9,Spells of Ice and Fire,"Arcane, Focus, Cold",Standard,Near,"burst 5, all creatures",,,Dexterity,Reflex,,,"You create a localized storm in the area of effect which lasts until the end of your next turn. It grants concealment and any creature that starts its turn in the tempest takes cold damage equal to your level and is slowed. If you move, the storm moves with you. ",**Elemental Attunement:** Close burst 8.,Standard: The effect persists until the end of your next turn.,
Halo of Fire,Those around believe the word is coming to end. You surround targets in a circle of flame and then close the hole around them.,Attack,Daily,9,Spells of Ice and Fire,"Arcane, Focus, Fire",Standard,Far,"burst 3 (range 20), all creatures",,,Dexterity,Reflex,"4d6 + Dexterity modifier fire damage, and the target is pulled 1 square towards the center, starting with the nearest target. The last target moved suffers additional 2d6 + Dexterity modifier fire damage. ",Half damage and pulled 1 square.,,**Elemental Attunement:** Far burst 5.,,
Thermal Shield,You protect yourself and all those around you with your power.,Utility,Daily,10,Spells of Ice and Fire,"Arcane, Flux",Move,Near,burst 3,,,,,,,"You erect a dome ten feet high wall which blocks line of sight. You gain additional effects based on your elemental focus.

* Cold: The dome is solid and can withstand 100 points of damage before shattering. Creatures within cannot leave until the dome is shattered or dismissed, but cannot be targeted from outside. The dome lasts until destroyed or until you cancel the effect.
* Fire: The burst creates a wall of fire in the outermost squares that grants resist 3 all damage to those inside it. Creatures can attempt to pass through the wall but suffer 4d6 fire damage. The wall lasts until the end of your next turn.",**Elemental Attunement:** Near burst 5.,,
Rocket Propulsion,"With enough influence over the transfer of energy, you’re able create a sustainable thermal reaction you can use to enable flight.",Utility,Daily,16,Spells of Ice and Fire,"Arcane, Fire",Move,Self,,,,,,,,You gain a fly speed of 8 until the end of your next turn. Each creature adjacent to your launch square take 5 points of fire damage.,,"Swift: Your fly speed persists until the end of your next turn. If you do not sustain and are still in the air at the start of the following turn, you fall.",
Blood Tell,Humans are 90% water. Humans are in a state of entropy which you can alter. This won’t look pretty.,Attack,Daily,19,Spells of Ice and Fire,"Arcane, Flux, Focus",Standard,Ranged,"5, one living creature",,,Dexterity,Reflex,"4d10 + Dexterity modifier [flux] damage, and the target is weakened and dazed (save ends). If the target dies, it explodes.",Half damage and the target can still explode.,,,,
Ice Castle,"They say when you become an adult, you put away childish things; but when you can make a fort out of ice, some things will never change.",Utility,Daily,22,Spells of Ice and Fire,"Arcane, Ice",Standard and Move,Self,,,,,,,,"You create a single room (no more than sixteen squares) structure out of ice, including furnishings if desired. If the structure is constructed in an area below freezing, it will persist indefinitely: otherwise, it will persist for 24 hours before melting.",,"Standard and Move: Create another room, or expand the size of an existing one.",
,,,,,,,,,,,,,,,,,,,
Radiant Dawn,,,,,,,,,,,,,,,,,,,
Dismiss,This attack ‘softly’ removes an enemy from your presence.,Attack,At-Will,1,Radiant Dawn,"Divine, Weapon, Radiant",Standard,Melee,"weapon, one creature",,,Wisdom,AC,"1dW + Wisdom modifier radiant damage and push 2. 
*Level 21:* 2dW + Wisdom modifier radiant damage. ",,,"If the target is undead, push 4 on a hit. ",,
Expose Weakness,"You strike with a weak, but swift, attack that hampers an opponent. ",Attack,At-Will,1,Radiant Dawn,"Divine, Focus",Standard,Ranged,"10, one creature",,,Wisdom,Will,The creature is weakened and slowed (save ends both). ,,,,,
